POprc465_1:1	xx	UNI(UNI)	
POprc465_1:2	_0	PA(PA)	
POprc465_1:3	ladies	NNS(NNS)	lady
POprc465_1:4	and	CC(CC)	and
POprc465_1:5	gentlemen	NNS(NNS)	gentleman
POprc465_1:6	our	PP$(PP$)	we
POprc465_1:7	master	NN(NN)	master
POprc465_1:8	of	NN(NN)	of
POprc465_1:9	ceremonies	NN(NN)	ceremonies
POprc465_1:10	the	DT(DT)	the
POprc465_1:11	finnish	JJ(JJ)	finnish
POprc465_1:12	_0	PA(PA)	
POprc465_1:13	press	NN(NN)	press
POprc465_1:14	secretary	NN(NN)	secretary
POprc465_1:15	seems	VVZ(VVZ)	seem
POprc465_1:16	to	TO(TO)	to
POprc465_1:17	be	VB(VB)	be
POprc465_1:18	_1	PA(PA)	
POprc465_1:19	somewhere	RB(RB)	somewhere
POprc465_1:20	but	CC(CC)	but
POprc465_1:21	er	UH(UH)	er
POprc465_1:22	_0	PA(PA)	
POprc465_1:23	perhaps	RB(RB)	perhaps
POprc465_1:24	we	PP(PP)	we
POprc465_1:25	'll	MD(MD)	will
POprc465_1:26	manage	VV(VV)	manage

POprc465_2:1	@@@@	LA(LA)	

POprc465_3:1	er	UH(UH)	er
POprc465_3:2	welcome	FI(FI)	welcome
POprc465_3:3	to	IN(IN)	to
POprc465_3:4	this	DT(DT)	this
POprc465_3:5	er	UH(UH)	er
POprc465_3:6	_0	PA(PA)	
POprc465_3:7	press	NN(NN)	press
POprc465_3:8	conference	NN(NN)	conference
POprc465_3:9	we	PP(PP)	we
POprc465_3:10	_1	PA(PA)	
POprc465_3:11	have	VHP(VHP)	have
POprc465_3:12	er	UH(UH)	er
POprc465_3:13	er	UH(UH)	er
POprc465_3:14	just	RB(RB)	just
POprc465_3:15	concluded	VVN(VVN)	conclude
POprc465_3:16	the	DT(DT)	the
POprc465_3:17	s_eu	NP(NP)	s_eu
POprc465_3:18	troika	NP(NP)	troika
POprc465_3:19	meeting	VVG(NN)	meet/meeting
POprc465_3:20	with	IN(IN)	with
POprc465_3:21	er	UH(UH)	er
POprc465_3:22	serbian	JJ(JJ)	serbian
POprc465_3:23	prime	NN(NN)	prime
POprc465_3:24	minister	NN(NN)	minister
POprc465_3:25	_0	PA(PA)	
POprc465_3:26	hh	BR(BR)	
POprc465_3:27	_1	PA(PA)	
POprc465_3:28	er	UH(UH)	er
POprc465_3:29	mister	NN(NN)	mister
POprc465_3:30	a_[S2/last]	NP(NP)	
POprc465_3:31	_0	PA(PA)	
POprc465_3:32	er	UH(UH)	er
POprc465_3:33	and	CC(CC)	and
POprc465_3:34	er	UH(UH)	er
POprc465_3:35	which	PRE(PRE)	which
POprc465_3:36	is	VBZ(VBZ)	be
POprc465_3:37	part	NN(NN)	part
POprc465_3:38	of	IN(IN)	of
POprc465_3:39	our	PP$(PP$)	we
POprc465_3:40	_0	PA(PA)	
POprc465_3:41	er	UH(UH)	er
POprc465_3:42	s_eu	NP(NP)	s_eu
POprc465_3:43	stepped-up	JJ(JJ)	stepped-up
POprc465_3:44	t-	XX(XX)	
POprc465_3:45	er	UH(UH)	er
POprc465_3:46	engagement	NN(NN)	engagement
POprc465_3:47	with	IN(IN)	with
POprc465_3:48	er	UH(UH)	er
POprc465_3:49	_0	PA(PA)	
POprc465_3:50	serbia	NP(NP)	serbia
POprc465_3:51	hh	BR(BR)	
POprc465_3:52	i	PP(PP)	i
POprc465_3:53	_0	PA(PA)	
POprc465_3:54	think	VVP(VVP)	think
POprc465_3:55	we	PP(PP)	we
POprc465_3:56	had	VHD(VHD)	have
POprc465_3:57	a	DT(DT)	a
POprc465_3:58	very	RB(RB)	very
POprc465_3:59	good	JJ(JJ)	good
POprc465_3:60	_0	PA(PA)	
POprc465_3:61	and	CC(CC)	and
POprc465_3:62	fruitful	JJ(JJ)	fruitful
POprc465_3:63	discussion	NN(NN)	discussion
POprc465_3:64	_0	PA(PA)	
POprc465_3:65	on	IN(IN)	on
POprc465_3:66	serbia	NP(NP)	serbia
POprc465_3:67	's	POS(POS)	's
POprc465_3:68	cooperation	NN(NN)	cooperation
POprc465_3:69	with	IN(IN)	with
POprc465_3:70	the	DT(DT)	the
POprc465_3:71	international	JJ(JJ)	international
POprc465_3:72	criminal	NN(NN)	criminal
POprc465_3:73	tribunal	NN(NN)	tribunal
POprc465_3:74	for	IN(IN)	for
POprc465_3:75	the	DT(DT)	the
POprc465_3:76	former	JJ(JJ)	former
POprc465_3:77	_0	PA(PA)	
POprc465_3:78	yugoslavia	NP(NP)	yugoslavia
POprc465_3:79	_0	PA(PA)	
POprc465_3:80	hh	BR(BR)	
POprc465_3:81	er	UH(UH)	er
POprc465_3:82	and	CC(CC)	and
POprc465_3:83	the	DT(DT)	the
POprc465_3:84	s_eu	NP(NP)	s_eu
POprc465_3:85	s_'s	POS(POS)	s_'s
POprc465_3:86	relations	NNS(NNS)	relation
POprc465_3:87	er	UH(UH)	er
POprc465_3:88	_1	PA(PA)	
POprc465_3:89	more	RBR(RBR)	more
POprc465_3:90	broadly	RB(RB)	broadly
POprc465_3:91	with	IN(IN)	with
POprc465_3:92	serbia	NP(NP)	serbia
POprc465_3:93	hh	BR(BR)	
POprc465_3:94	er	UH(UH)	er
POprc465_3:95	_0	PA(PA)	
POprc465_3:96	serbia	NP(NP)	serbia
POprc465_3:97	presented	VVD(VVD)	present
POprc465_3:98	its	PP$(PP$)	it
POprc465_3:99	action	NN(NN)	action
POprc465_3:100	plan	NN(NN)	plan
POprc465_3:101	on	IN(IN)	on
POprc465_3:102	cooperation	NN(NN)	cooperation
POprc465_3:103	with	IN(IN)	with
POprc465_3:104	er	UH(UH)	er
POprc465_3:105	icty	NP(NP)	icty
POprc465_3:106	er	UH(UH)	er
POprc465_3:107	for	IN(IN)	for
POprc465_3:108	us	PP(PP)	we
POprc465_3:109	today	RB(RB)	today
POprc465_3:110	hh	BR(BR)	
POprc465_3:111	er	UH(UH)	er
POprc465_3:112	_0	PA(PA)	
POprc465_3:113	and	CC(CC)	and
POprc465_3:114	er	UH(UH)	er
POprc465_3:115	the	DT(DT)	the
POprc465_3:116	plan	NN(NN)	plan
POprc465_3:117	contains	VVZ(VVZ)	contain
POprc465_3:118	a	DT(DT)	a
POprc465_3:119	clear	JJ(JJ)	clear
POprc465_3:120	commitment	NN(NN)	commitment
POprc465_3:121	er	UH(UH)	er
POprc465_3:122	to	IN(IN)	to
POprc465_3:123	full	JJ(JJ)	full
POprc465_3:124	cooperation	NN(NN)	cooperation
POprc465_3:125	_0	PA(PA)	
POprc465_3:126	with	IN(IN)	with
POprc465_3:127	the	DT(DT)	the
POprc465_3:128	hague	NP(NP)	hague
POprc465_3:129	war	NP(NP)	war
POprc465_3:130	crimes	NP(NP)	crimes
POprc465_3:131	tribunal	NP(NP)	tribunal
POprc465_3:132	_0	PA(PA)	
POprc465_3:133	including	IN(IN)	including
POprc465_3:134	the	DT(DT)	the
POprc465_3:135	arrest	NN(NN)	arrest
POprc465_3:136	and	CC(CC)	and
POprc465_3:137	transfer	NN(NN)	transfer
POprc465_3:138	_0	PA(PA)	
POprc465_3:139	of	IN(IN)	of
POprc465_3:140	ratko	NP(NP)	ratko
POprc465_3:141	mladic	NP(NP)	mladic
POprc465_3:142	hhh	BR(BR)	
POprc465_3:143	_0	PA(PA)	
POprc465_3:144	er	UH(UH)	er
POprc465_3:145	we	PP(PP)	we
POprc465_3:146	also	RB(RB)	also
POprc465_3:147	_0	PA(PA)	
POprc465_3:148	welcome	VVP(VVP)	welcome
POprc465_3:149	er	UH(UH)	er
POprc465_3:150	the	DT(DT)	the
POprc465_3:151	_0	PA(PA)	
POprc465_3:152	serbians	NPS(NPS)	serbian
POprc465_3:153		POS(POS)	'
POprc465_3:154	_0	PA(PA)	
POprc465_3:155	government	NN(NN)	government
POprc465_3:156	's	POS(POS)	's
POprc465_3:157	decision	NN(NN)	decision
POprc465_3:158	to	TO(TO)	to
POprc465_3:159	appoint	VV(VV)	appoint
POprc465_3:160	an	DT(DT)	a
POprc465_3:161	overall	JJ(JJ)	overall
POprc465_3:162	_0	PA(PA)	
POprc465_3:163	coordinator	NN(NN)	coordinator
POprc465_3:164	_0	PA(PA)	
POprc465_3:165	for	IN(IN)	for
POprc465_3:166	the	DT(DT)	the
POprc465_3:167	action	NN(NN)	action
POprc465_3:168	plan	NN(NN)	plan
POprc465_3:169	_0	PA(PA)	
POprc465_3:170	and	CC(CC)	and
POprc465_3:171	a	DT(DT)	a
POprc465_3:172	head	NN(NN)	head
POprc465_3:173	of	IN(IN)	of
POprc465_3:174	p_operatizations	PVC(NNS)	
POprc465_3:175	for	IN(IN)	for
POprc465_3:176	conducting	VVG(VVG)	conduct
POprc465_3:177	the	DT(DT)	the
POprc465_3:178	search	NN(NN)	search
POprc465_3:179	arrest	NN(NN)	arrest
POprc465_3:180	and	CC(CC)	and
POprc465_3:181	transfer	NN(NN)	transfer
POprc465_3:182	of	IN(IN)	of
POprc465_3:183	the	DT(DT)	the
POprc465_3:184	fugitives	NNS(NNS)	fugitive
POprc465_3:185	to	IN(IN)	to
POprc465_3:186	_0	PA(PA)	
POprc465_3:187	the	DT(DT)	the
POprc465_3:188	hague	NP(NP)	hague
POprc465_3:189	hh	BR(BR)	
POprc465_3:190	and	CC(CC)	and
POprc465_3:191	of	RB(RB)	of
POprc465_3:192	course	RB(RB)	course
POprc465_3:193	serbia	NP(NP)	serbia
POprc465_3:194	will	MD(MD)	will
POprc465_3:195	need	VV(VV)	need
POprc465_3:196	to	TO(TO)	to
POprc465_3:197	work	VV(VV)	work
POprc465_3:198	out	RP(RP)	out
POprc465_3:199	detailed	JJ(JJ)	detailed
POprc465_3:200	operational	JJ(JJ)	operational
POprc465_3:201	plans	NNS(NNS)	plan
POprc465_3:202	in	IN(IN)	in
POprc465_3:203	close	JJ(JJ)	close
POprc465_3:204	cooperation	NN(NN)	cooperation
POprc465_3:205	with	IN(IN)	with
POprc465_3:206	the	DT(DT)	the
POprc465_3:207	icty	NP(NP)	icty
POprc465_3:208	hh	BR(BR)	
POprc465_3:209	from	IN(IN)	from
POprc465_3:210	our	PP$(PP$)	we
POprc465_3:211	part	NN(NN)	part
POprc465_3:212	er	UH(UH)	er
POprc465_3:213	we	PP(PP)	we
POprc465_3:214	could	MD(MD)	can
POprc465_3:215	er	UH(UH)	er
POprc465_3:216	er	UH(UH)	er
POprc465_3:217	_1	PA(PA)	
POprc465_3:218	note	VV(VV)	note
POprc465_3:219	that	IN(IN)	that
POprc465_3:220	the	DT(DT)	the
POprc465_3:221	action	NN(NN)	action
POprc465_3:222	plan	NN(NN)	plan
POprc465_3:223	_0	PA(PA)	
POprc465_3:224	provides	VVZ(VVZ)	provide
POprc465_3:225	a	DT(DT)	a
POprc465_3:226	very	RB(RB)	very
POprc465_3:227	good	JJ(JJ)	good
POprc465_3:228	basis	NN(NN)	basis
POprc465_3:229	for	IN(IN)	for
POprc465_3:230	_0	PA(PA)	
POprc465_3:231	er	UH(UH)	er
POprc465_3:232	our	PP$(PP$)	we
POprc465_3:233	further	JJR(JJR)	far
POprc465_3:234	work	NN(NN)	work
POprc465_3:235	_0	PA(PA)	
POprc465_3:236	and	CC(CC)	and
POprc465_3:237	cooperation	NN(NN)	cooperation
POprc465_3:238	obviously	RB(RB)	obviously
POprc465_3:239	_0	PA(PA)	
POprc465_3:240	the	DT(DT)	the
POprc465_3:241	plan	NN(NN)	plan
POprc465_3:242	is	VBZ(VBZ)	be
POprc465_3:243	still	RB(RB)	still
POprc465_3:244	to	TO(TO)	to
POprc465_3:245	be	VB(VB)	be
POprc465_3:246	de-	XX(XX)	
POprc465_3:247	_0	PA(PA)	
POprc465_3:248	developed	VVN(VVN)	develop
POprc465_3:249	further	RBR(RBR)	far
POprc465_3:250	hh	BR(BR)	
POprc465_3:251	_0	PA(PA)	
POprc465_3:252	er	UH(UH)	er
POprc465_3:253	and	CC(CC)	and
POprc465_3:254	a	DT(DT)	a
POprc465_3:255	but	CC(CC)	but
POprc465_3:256	effective	JJ(JJ)	effective
POprc465_3:257	implementation	NN(NN)	implementation
POprc465_3:258	of	IN(IN)	of
POprc465_3:259	the	DT(DT)	the
POprc465_3:260	action	NN(NN)	action
POprc465_3:261	plan	NN(NN)	plan
POprc465_3:262	_0	PA(PA)	
POprc465_3:263	er	UH(UH)	er
POprc465_3:264	can	MD(MD)	can
POprc465_3:265	_0	PA(PA)	
POprc465_3:266	and	CC(CC)	and
POprc465_3:267	must	MD(MD)	must
POprc465_3:268	begin	VV(VV)	begin
