POmtg542_1:1	sorry	FI(FI)	sorry
POmtg542_1:2	_2	PA(PA)	

POmtg542_2:1	yes	RE(RE)	yes
POmtg542_2:2	_2	PA(PA)	

POmtg542_3:1	no	DT(DT)	no
POmtg542_3:2	problem	NN(NN)	problem
POmtg542_3:3	especially	RB(RB)	especially

POmtg542_4:1	have	VHP(VHP)	have
POmtg542_4:2	you	PP(PP)	you
POmtg542_4:3	had	VHN(VHN)	have
POmtg542_4:4	the	DT(DT)	the
POmtg542_4:5	time	NN(NN)	time
POmtg542_4:6	to	TO(TO)	to
POmtg542_4:7	refresh	VV(VV)	refresh
POmtg542_4:8	yourself	PP(PP)	you
POmtg542_4:9	with	IN(IN)	with
POmtg542_4:10	it	PP(PP)	it
POmtg542_4:11	now	RB(RB)	now
POmtg542_4:12	a_[S2]	NP(NP)	
POmtg542_4:13	_1	PA(PA)	

POmtg542_5:1	yeah	RE(RE)	yeah
POmtg542_5:2	but	CC(CC)	but
POmtg542_5:3	i	PP(PP)	i

POmtg542_6:1	@	LA(LA)	

POmtg542_7:1	have	VHP(VHP)	have
POmtg542_7:2	n't	RB(RB)	not
POmtg542_7:3	had	VHN(VHN)	have
POmtg542_7:4	the	DT(DT)	the
POmtg542_7:5	time	NN(NN)	time
POmtg542_7:6	to	TO(TO)	to
POmtg542_7:7	check	VV(VV)	check
POmtg542_7:8	this	DT(DT)	this
POmtg542_7:9	document	NN(NN)	document

POmtg542_8:1	now	RB(RB)	now
POmtg542_8:2	_0	PA(PA)	
POmtg542_8:3	er	UH(UH)	er
POmtg542_8:4	_0	PA(PA)	
POmtg542_8:5	i	PP(DM)	i
POmtg542_8:6	mean	VVP(DM)	mean
POmtg542_8:7	_0	PA(PA)	
POmtg542_8:8	let	VV(VV)	let
POmtg542_8:9	's	PP(PP)	we
POmtg542_8:10	plot	VV(VV)	plot
POmtg542_8:11	through	IN(IN)	through
POmtg542_8:12	it	PP(PP)	it
POmtg542_8:13	if	IN(IN)	if
POmtg542_8:14	it	PP(PP)	it
POmtg542_8:15	's	VBS(VBS)	be
POmtg542_8:16	the	DT(DT)	the
POmtg542_8:17	national	JJ(JJ)	national
POmtg542_8:18	model	NN(NN)	model
POmtg542_8:19	_0	PA(PA)	
POmtg542_8:20	i	PP(DM)	i
POmtg542_8:21	mean	VVP(DM)	mean
POmtg542_8:22	by	IN(IN)	by
POmtg542_8:23	implication	NN(NN)	implication
POmtg542_8:24	_1	PA(PA)	
POmtg542_8:25	of	IN(IN)	of
POmtg542_8:26	what	WP(WP)	what
POmtg542_8:27	i	PP(PP)	i
POmtg542_8:28	said	VVD(VVD)	say
POmtg542_8:29	it	PP(PP)	it
POmtg542_8:30	means	VVZ(VVZ)	mean
POmtg542_8:31	that	IN(IN)	that
POmtg542_8:32	the	DT(DT)	the
POmtg542_8:33	initiative	NN(NN)	initiative
POmtg542_8:34	will	MD(MD)	will
POmtg542_8:35	be	VB(VB)	be
POmtg542_8:36	_1	PA(PA)	
POmtg542_8:37	as	IN(IN)	as
POmtg542_8:38	in	IN(IN)	in
POmtg542_8:39	our	PP$(PP$)	we
POmtg542_8:40	case	NN(NN)	case
POmtg542_8:41	_0	PA(PA)	
POmtg542_8:42	our	PP$(PP$)	we
POmtg542_8:43	own	JJ(JJ)	own
POmtg542_8:44	initiative	NN(NN)	initiative
POmtg542_8:45	_0	PA(PA)	
POmtg542_8:46	it	PP(PP)	it
POmtg542_8:47	could	MD(MD)	can
POmtg542_8:48	as	IN(IN)	as
POmtg542_8:49	it	PP(PP)	it
POmtg542_8:50	was	VBD(VBD)	be
POmtg542_8:51	last	JJ(JJ)	last
POmtg542_8:52	time	NN(NN)	time
POmtg542_8:53	had	VHD(VH)	have
POmtg542_8:54	been	VBN(VBN)	be
POmtg542_8:55	the	DT(DT)	the
POmtg542_8:56	government	NN(NN)	government
POmtg542_8:57	's	POS(POS)	's
POmtg542_8:58	initiative	NN(NN)	initiative
POmtg542_8:59	_0	PA(PA)	
POmtg542_8:60	or	CC(CC)	or
POmtg542_8:61	it	PP(PP)	it
POmtg542_8:62	will	MD(MD)	will
POmtg542_8:63	often	RB(RB)	often
POmtg542_8:64	be	VB(VB)	be
POmtg542_8:65	a	DT(DT)	a
POmtg542_8:66	combination	NN(NN)	combination
POmtg542_8:67	of	IN(IN)	of
POmtg542_8:68	both	DT(DT)	both
POmtg542_8:69	thing	NN(NNS)	thing
POmtg542_8:70	_1	PA(PA)	
POmtg542_8:71	so	DM(DM)	so
POmtg542_8:72	that	DT(DT)	that
POmtg542_8:73	's	VBS(VBS)	be
POmtg542_8:74	simple	JJ(JJ)	simple
POmtg542_8:75	enough	RB(RB)	enough
POmtg542_8:76	the	DT(DT)	the
POmtg542_8:77	secretariat	NN(NN)	secretariat
POmtg542_8:78	_0	PA(PA)	

POmtg542_9:1	mhm	RE(RE)	mhm

POmtg542_10:1	should	MD(MD)	shall
POmtg542_10:2	be	VB(VB)	be
POmtg542_10:3	with	IN(IN)	with
POmtg542_10:4	the	DT(DT)	the
POmtg542_10:5	agency	NN(NN)	agency
POmtg542_10:6	i	PP(PP)	i
POmtg542_10:7	think	VVP(VVP)	think
POmtg542_10:8	in	IN(IN)	in
POmtg542_10:9	any	DT(DT)	any
POmtg542_10:10	case	NN(NN)	case
POmtg542_10:11	_2	PA(PA)	
POmtg542_10:12	we	PP(PP)	we
POmtg542_10:13	should	MD(MD)	shall
POmtg542_10:14	trust	VV(VV)	trust
POmtg542_10:15	_0	PA(PA)	
