POwgd449_1:1	language	NN(NN)	language
POwgd449_1:2	learning	VVG(NN)	learn/learning
POwgd449_1:3	oh	UH(UH)	oh
POwgd449_1:4	no	RE(RE)	no
POwgd449_1:5	yeah	RE(RE)	yeah
POwgd449_1:6	no	RE(RE)	no
POwgd449_1:7	_0	PA(PA)	
POwgd449_1:8	you	PP(PP)	you
POwgd449_1:9	are	VBP(VBP)	be
POwgd449_1:10	right	JJ(JJ)	right

POwgd449_2:1	in	IN(IN)	in
POwgd449_2:2	the	DT(DT)	the
POwgd449_2:3	organization	NN(NN)	organization
POwgd449_2:4	i	PP(DM)	i
POwgd449_2:5	mean	VVP(DM)	mean

POwgd449_3:1	is	VBZ(VBZ)	be
POwgd449_3:2	that	DT(DT)	that
POwgd449_3:3	okay	JJ(JJ)	okay

POwgd449_4:1	oh	UH(UH)	oh
POwgd449_4:2	yeah	RE(RE)	yeah
POwgd449_4:3	_0	PA(PA)	
POwgd449_4:4	yah	RE(RE)	yah
POwgd449_4:5	yah	RE(RE)	yah
POwgd449_4:6	_0	PA(PA)	
POwgd449_4:7	erm	UH(UH)	erm

POwgd449_5:1	where	WRB(WRB)	where

POwgd449_6:1	how	WRB(WRB)	how
POwgd449_6:2	shall	MD(MD)	shall
POwgd449_6:3	we	PP(PP)	we
POwgd449_6:4	describe	VV(VV)	describe
POwgd449_6:5	it	PP(PP)	it
POwgd449_6:6	_0	PA(PA)	

POwgd449_7:1	step	NN(NN)	step
POwgd449_7:2	by	IN(IN)	by
POwgd449_7:3	step	NN(NN)	step
POwgd449_7:4	er	UH(UH)	er
POwgd449_7:5	_0	PA(PA)	

POwgd449_8:1	yeah	RE(RE)	yeah
POwgd449_8:2	_0	PA(PA)	
POwgd449_8:3	er	UH(UH)	er
POwgd449_8:4	draw	VV(VV)	draw
POwgd449_8:5	up	RP(RP)	up
POwgd449_8:6	erm	UH(UH)	erm
POwgd449_8:7	_0	PA(PA)	
POwgd449_8:8	step	NN(NN)	step
POwgd449_8:9	by	IN(IN)	by
POwgd449_8:10	step	NN(NN)	step
POwgd449_8:11	_0	PA(PA)	

POwgd449_9:1	step	NN(NN)	step

POwgd449_10:1	by	IN(IN)	by

POwgd449_11:1	by	IN(IN)	by
POwgd449_11:2	_0	PA(PA)	
POwgd449_11:3	step	NN(NN)	step

POwgd449_12:1	of	IN(IN)	of
POwgd449_12:2	all	PDT(PDT)	all
POwgd449_12:3	the	DT(DT)	the
POwgd449_12:4	activities	NNS(NNS)	activity
POwgd449_12:5	_0	PA(PA)	

POwgd449_13:1	by	IN(IN)	by
POwgd449_13:2	st-	XX(XX)	
POwgd449_13:3	for	IN(IN)	for
POwgd449_13:4	well	DM(DM)	well
POwgd449_13:5	for	IN(IN)	for
POwgd449_13:6	all	DT(DT)	all
POwgd449_13:7	of	IN(IN)	of
POwgd449_13:8	it	PP(PP)	it
POwgd449_13:9	_0	PA(PA)	
POwgd449_13:10	so	DM(DM)	so
POwgd449_13:11	including	IN(IN)	including
POwgd449_13:12	_0	PA(PA)	
POwgd449_13:13	including	IN(IN)	including
POwgd449_13:14	_0	PA(PA)	
POwgd449_13:15	what	WDT(WDT)	what
POwgd449_13:16	preparation	NN(NN)	preparation
POwgd449_13:17	x	UNI(UNI)	
POwgd449_13:18	xx	UNI(UNI)	
POwgd449_13:19	itself	PP(PP)	it
POwgd449_13:20	forward	RB(RB)	forward
POwgd449_13:21	_0	PA(PA)	

POwgd449_14:1	step	NN(NN)	step
POwgd449_14:2	by	IN(IN)	by
POwgd449_14:3	step	NN(NN)	step
POwgd449_14:4	er	UH(UH)	er

POwgd449_15:1	and	CC(CC)	and
POwgd449_15:2	so	RB(RB)	so
POwgd449_15:3	on	RB(RB)	on
POwgd449_15:4	_3	PA(PA)	
POwgd449_15:5	on	IN(IN)	on
POwgd449_15:6	agenda	NN(NN)	agenda
POwgd449_15:7	or	CC(CC)	or
POwgd449_15:8	something	NN(NN)	something
POwgd449_15:9	_4	PA(PA)	
POwgd449_15:10	okay	RE(RE)	okay
POwgd449_15:11	what	WP(WP)	what
POwgd449_15:12	do	VVP(VVP)	do
POwgd449_15:13	you	PP(PP)	you
POwgd449_15:14	mean	VV(VV)	mean

POwgd449_16:1	xxx	UNI(UNI)	

POwgd449_17:1	erm	UH(UH)	erm
POwgd449_17:2	preparation	NN(NN)	preparation
POwgd449_17:3	xxx	UNI(UNI)	

POwgd449_18:1	well	DM(DM)	well
POwgd449_18:2	_0	PA(PA)	
POwgd449_18:3	defining	VVG(VVG)	define
POwgd449_18:4	_1	PA(PA)	
POwgd449_18:5	exactly	RB(RB)	exactly
POwgd449_18:6	the	DT(DT)	the
POwgd449_18:7	aim	NN(NN)	aim
POwgd449_18:8	of	IN(IN)	of
POwgd449_18:9	the	DT(DT)	the
POwgd449_18:10	project	NN(NN)	project
POwgd449_18:11	_2	PA(PA)	
POwgd449_18:12	that	DT(DT)	that
POwgd449_18:13	's	VBS(VBS)	be
POwgd449_18:14	what	WP(WP)	what

POwgd449_19:1	the	DT(DT)	the
POwgd449_19:2	aim	NN(NN)	aim
POwgd449_19:3	of	IN(IN)	of
POwgd449_19:4	the	DT(DT)	the
POwgd449_19:5	taster	NN(NN)	taster
POwgd449_19:6	session	NN(NN)	session
POwgd449_19:7	_0	PA(PA)	

POwgd449_20:1	well	DM(DM)	well

POwgd449_21:1	the	DT(DT)	the

POwgd449_22:1	determine	VV(VV)	determine
POwgd449_22:2	the	DT(DT)	the
POwgd449_22:3	aim	NN(NN)	aim
POwgd449_22:4	of	IN(IN)	of
POwgd449_22:5	your	PP$(PP$)	you
POwgd449_22:6	of	IN(IN)	of
POwgd449_22:7	your	PP$(PP$)	you
POwgd449_22:8	activity	NN(NN)	activity
POwgd449_22:9	and	CC(CC)	and
POwgd449_22:10	_0	PA(PA)	
POwgd449_22:11	well	DM(DM)	well

POwgd449_23:1	yeah	RE(RE)	yeah

POwgd449_24:1	erm	UH(UH)	erm
POwgd449_24:2	identify	VV(VV)	identify
POwgd449_24:3	what	WP(WP)	what
POwgd449_24:4	you	PP(PP)	you
POwgd449_24:5	identify	VV(VV)	identify
POwgd449_24:6	what	WP(WP)	what
POwgd449_24:7	you	PP(PP)	you
POwgd449_24:8	_0	PA(PA)	

POwgd449_25:1	otherwise	RB(RB)	otherwise
POwgd449_25:2	you	PP(PP)	you
POwgd449_25:3	give	VVP(VVP)	give
POwgd449_25:4	me	PP(PP)	i

POwgd449_26:1	want	VVP(VVP)	want
POwgd449_26:2	to	TO(TO)	to
POwgd449_26:3	achieve	VV(VV)	achieve

POwgd449_27:1	okay	RE(RE)	okay
POwgd449_27:2	_0	PA(PA)	
POwgd449_27:3	should	MD(MD)	shall
POwgd449_27:4	be	VB(VB)	be
POwgd449_27:5	the	DT(DT)	the
POwgd449_27:6	first	JJ(JJ)	first
POwgd449_27:7	one	NN(NN)	one

POwgd449_28:1	but	CC(CC)	but
POwgd449_28:2	why	WRB(WRB)	why
POwgd449_28:3	this	DT(DT)	this
POwgd449_28:4	is	VBZ(VBZ)	be
POwgd449_28:5	here	RB(RB)	here

POwgd449_29:1	we	PP(PP)	we
POwgd449_29:2	should	MD(MD)	shall
POwgd449_29:3	write	VV(VV)	write
POwgd449_29:4	this	DT(DT)	this
POwgd449_29:5	there	RB(RB)	there

POwgd449_30:1	er	UH(UH)	er
POwgd449_30:2	just	RB(RB)	just
POwgd449_30:3	listed	VVD(VVD)	list

POwgd449_31:1	so	DM(DM)	so
POwgd449_31:2	you	PP(PP)	you
POwgd449_31:3	beat	VVP(VVP)	beat
POwgd449_31:4	the	DT(DT)	the
POwgd449_31:5	learning	VVG(NN)	learn/learning
POwgd449_31:6	for	IN(IN)	for
POwgd449_31:7	_0	PA(PA)	
POwgd449_31:8	motivated	JJ(JJ)	motivated
POwgd449_31:9	and	CC(CC)	and
POwgd449_31:10	put	VVP(VVP)	put
POwgd449_31:11	down	RB(RB)	down
POwgd449_31:12	the	DT(DT)	the
POwgd449_31:13	aim	NN(NN)	aim

POwgd449_32:1	that	DT(DT)	that
POwgd449_32:2	one	NN(NN)	one
POwgd449_32:3	should	MD(MD)	shall
POwgd449_32:4	be	VB(VB)	be
POwgd449_32:5	the	DT(DT)	the
POwgd449_32:6	first	JJ(JJ)	first
POwgd449_32:7	one	NN(NN)	one
POwgd449_32:8	but	CC(CC)	but
POwgd449_32:9	it	PP(PP)	it
POwgd449_32:10	is	VBZ(VBZ)	be

POwgd449_33:1	i	PP(PP)	i
POwgd449_33:2	i	PP(PP)	i
POwgd449_33:3	know	VVP(VVP)	know
POwgd449_33:4	but	CC(CC)	but
POwgd449_33:5	we	PP(PP)	we
POwgd449_33:6	can	MD(MD)	can
POwgd449_33:7	we	PP(PP)	we
POwgd449_33:8	can	MD(MD)	can
POwgd449_33:9	rearrange	VV(VV)	rearrange
POwgd449_33:10	them	PP(PP)	they
POwgd449_33:11	on	IN(IN)	on
POwgd449_33:12	the	DT(DT)	the
POwgd449_33:13	post-it	NN(NN)	post-it

POwgd449_34:1	yeah	RE(RE)	yeah
POwgd449_34:2	yeah	RE(RE)	yeah
POwgd449_34:3	yeah	RE(RE)	yeah

POwgd449_35:1	rearrange	VV(VV)	rearrange
POwgd449_35:2	them	PP(PP)	they
POwgd449_35:3	yes	RE(RE)	yes

POwgd449_36:1	erm	UH(UH)	erm
POwgd449_36:2	erm	UH(UH)	erm
POwgd449_36:3	erm	UH(UH)	erm
POwgd449_36:4	so	DM(DM)	so
