POmtg316_1:1	let	VV(VV)	let
POmtg316_1:2	's	PP(PP)	we
POmtg316_1:3	starts	VVZ(VV)	start
POmtg316_1:4	with	IN(IN)	with
POmtg316_1:5	_0	PA(PA)	
POmtg316_1:6	er	UH(UH)	er
POmtg316_1:7	the	DT(DT)	the
POmtg316_1:8	academic	JJ(JJ)	academic
POmtg316_1:9	part	NN(NN)	part
POmtg316_1:10	the	DT(DT)	the
POmtg316_1:11	aca-	XX(XX)	
POmtg316_1:12	er	UH(UH)	er
POmtg316_1:13	academic	NN(NN)	academic
POmtg316_1:14	with	IN(IN)	with
POmtg316_1:15	_1	PA(PA)	

POmtg316_2:1	yeah	RE(RE)	yeah

POmtg316_3:1	okay	RE(RE)	okay
POmtg316_3:2	_1	PA(PA)	
POmtg316_3:3	er	UH(UH)	er
POmtg316_3:4	that	DT(DT)	that
POmtg316_3:5	was	VBD(VBD)	be
POmtg316_3:6	just	RB(RB)	just
POmtg316_3:7	er	UH(UH)	er
POmtg316_3:8	again	RB(RB)	again
POmtg316_3:9	er	UH(UH)	er
POmtg316_3:10	brainstorming	VVG(NN)	brainstorm/brainstorming
POmtg316_3:11	more	JJR(JJR)	more
POmtg316_3:12	than	IN(IN)	than
POmtg316_3:13	a	DT(DT)	a
POmtg316_3:14	very	RB(RB)	very
POmtg316_3:15	structured	JJ(JJ)	structured
POmtg316_3:16	discussing	VVG(NN)	discuss/discussing
POmtg316_3:17	but	CC(CC)	but
POmtg316_3:18	we	PP(PP)	we
POmtg316_3:19	have	VHP(VHP)	have
POmtg316_3:20	arrived	VVN(VVN)	arrive
POmtg316_3:21	at	IN(IN)	at
POmtg316_3:22	a	DT(DT)	a
POmtg316_3:23	certain	JJ(JJ)	certain
POmtg316_3:24	_0	PA(PA)	
POmtg316_3:25	er	UH(UH)	er
POmtg316_3:26	a	DT(DT)	a
POmtg316_3:27	structure	NN(NN)	structure
POmtg316_3:28	_0	PA(PA)	
POmtg316_3:29	of	IN(IN)	of
POmtg316_3:30	the	DT(DT)	the
POmtg316_3:31	questions	NNS(NNS)	question
POmtg316_3:32	that	PRE(PRE)	that
POmtg316_3:33	should	MD(MD)	shall
POmtg316_3:34	be	VB(VB)	be
POmtg316_3:35	raised	VVN(VVN)	raise
POmtg316_3:36	_1	PA(PA)	
POmtg316_3:37	er	UH(UH)	er
POmtg316_3:38	before	IN(IN)	before
POmtg316_3:39	_0	PA(PA)	
POmtg316_3:40	the	DT(DT)	the
POmtg316_3:41	actual	JJ(JJ)	actual
POmtg316_3:42	project	NN(NN)	project
POmtg316_3:43	_0	PA(PA)	
POmtg316_3:44	is	VBZ(VBZ)	be
POmtg316_3:45	started	VVN(VVN)	start
POmtg316_3:46	_1	PA(PA)	
POmtg316_3:47	so	DM(DM)	so
POmtg316_3:48	_0	PA(PA)	
POmtg316_3:49	the	DT(DT)	the
POmtg316_3:50	first	JJ(JJ)	first
POmtg316_3:51	_1	PA(PA)	
POmtg316_3:52	batch	NN(NN)	batch
POmtg316_3:53	of	IN(IN)	of
POmtg316_3:54	questions	NNS(NNS)	question
POmtg316_3:55	that	DT(DT)	that
POmtg316_3:56	is	VBZ(VBZ)	be
POmtg316_3:57	_0	PA(PA)	
POmtg316_3:58	what	WP(WP)	what
POmtg316_3:59	are	VBP(VBP)	be
POmtg316_3:60	the	DT(DT)	the
POmtg316_3:61	objectives	NNS(NNS)	objective
POmtg316_3:62	and	CC(CC)	and
POmtg316_3:63	the	DT(DT)	the
POmtg316_3:64	backgrounds	NNS(NNS)	background
POmtg316_3:65	_0	PA(PA)	
POmtg316_3:66	to	IN(IN)	to
POmtg316_3:67	the	DT(DT)	the
POmtg316_3:68	projects	NNS(NNS)	project
POmtg316_3:69	_1	PA(PA)	
POmtg316_3:70	what	WP(WP)	what
POmtg316_3:71	is	VBZ(VBZ)	be
POmtg316_3:72	the	DT(DT)	the
POmtg316_3:73	objective	NN(NN)	objective
POmtg316_3:74	the	DT(DT)	the
POmtg316_3:75	new	JJ(JJ)	new
POmtg316_3:76	the	DT(DT)	the
POmtg316_3:77	novel	JJ(JJ)	novel
POmtg316_3:78	aspect	NN(NN)	aspect
POmtg316_3:79	that	PRE(PRE)	that
POmtg316_3:80	we	PP(PP)	we
POmtg316_3:81	are	VBP(VBP)	be
POmtg316_3:82	going	VVG(VVG)	go
POmtg316_3:83	that	PRE(PRE)	that
POmtg316_3:84	you	PP(PP)	you
POmtg316_3:85	are	VBP(VBP)	be
POmtg316_3:86	going	VVG(VVG)	go
POmtg316_3:87	to	TO(TO)	to
POmtg316_3:88	develop	VV(VV)	develop
POmtg316_3:89	that	DT(DT)	that
POmtg316_3:90	is	VBZ(VBZ)	be
POmtg316_3:91	what	WP(WP)	what
POmtg316_3:92	is	VBZ(VBZ)	be
POmtg316_3:93	the	DT(DT)	the
POmtg316_3:94	added	NN(NN)	added
POmtg316_3:95	value	NN(NN)	value
POmtg316_3:96	_0	PA(PA)	
POmtg316_3:97	of	IN(IN)	of
POmtg316_3:98	the	DT(DT)	the
POmtg316_3:99	_0	PA(PA)	
POmtg316_3:100	joint	JJ(JJ)	joint
POmtg316_3:101	_1	PA(PA)	
POmtg316_3:102	er	UH(UH)	er
POmtg316_3:103	master	NN(NN)	master
POmtg316_3:104	mas-	XX(XX)	
POmtg316_3:105	joint	NN(NN)	joint
POmtg316_3:106	master	NN(NN)	master
POmtg316_3:107	's	POS(POS)	's
POmtg316_3:108	er	UH(UH)	er
POmtg316_3:109	_0	PA(PA)	
POmtg316_3:110	program	NN(NN)	program
POmtg316_3:111	_1	PA(PA)	
POmtg316_3:112	secondly	RB(RB)	secondly
POmtg316_3:113	_0	PA(PA)	
POmtg316_3:114	what	WP(WP)	what
POmtg316_3:115	are	VBP(VBP)	be
POmtg316_3:116	the	DT(DT)	the
POmtg316_3:117	labor	NN(NN)	labor
POmtg316_3:118	market	NN(NN)	market
POmtg316_3:119	needs	NNS(NNS)	need
POmtg316_3:120	er	UH(UH)	er
POmtg316_3:121	_1	PA(PA)	
POmtg316_3:122	thirdly	RB(RB)	thirdly
POmtg316_3:123	_0	PA(PA)	
POmtg316_3:124	what	WDT(WDT)	what
POmtg316_3:125	sort	NN(NN)	sort
POmtg316_3:126	of	IN(IN)	of
POmtg316_3:127	professional	JJ(JJ)	professional
POmtg316_3:128	skills	NNS(NNS)	skill
POmtg316_3:129	_1	PA(PA)	
POmtg316_3:130	are	VBP(VBP)	be
POmtg316_3:131	_0	PA(PA)	
POmtg316_3:132	needed	VVN(VVN)	need
POmtg316_3:133	_2	PA(PA)	
POmtg316_3:134	and	CC(CC)	and
POmtg316_3:135	then	RB(RB)	then
POmtg316_3:136	what	WDT(WDT)	what
POmtg316_3:137	learning	VVG(NNS)	learn/learning
POmtg316_3:138	outcomes	NNS(NNS)	outcome
POmtg316_3:139	that	DT(DT)	that
POmtg316_3:140	is	VBZ(VBZ)	be
POmtg316_3:141	_0	PA(PA)	
POmtg316_3:142	generic	JJ(JJ)	generic
POmtg316_3:143	and	CC(CC)	and
POmtg316_3:144	specific	JJ(JJ)	specific
POmtg316_3:145	competences	NNS(NNS)	competence
POmtg316_3:146	_2	PA(PA)	
POmtg316_3:147	erm	UH(UH)	erm
POmtg316_3:148	_2	PA(PA)	
POmtg316_3:149	are	VBP(VBP)	be
POmtg316_3:150	to	TO(TO)	to
POmtg316_3:151	be	VB(VB)	be
POmtg316_3:152	developed	VVN(VVN)	develop
POmtg316_3:153	as	IN(IN)	as
POmtg316_3:154	a	DT(DT)	a
POmtg316_3:155	result	NN(NN)	result
POmtg316_3:156	of	IN(IN)	of
POmtg316_3:157	the	DT(DT)	the
POmtg316_3:158	_0	PA(PA)	
POmtg316_3:159	program	NN(NN)	program
POmtg316_3:160	_1	PA(PA)	
POmtg316_3:161	what	WP(WP)	what
POmtg316_3:162	is	VBZ(VBZ)	be
POmtg316_3:163	the	DT(DT)	the
POmtg316_3:164	best	JJS(JJS)	good
POmtg316_3:165	_1	PA(PA)	
POmtg316_3:166	sort	RB(RB)	sort
POmtg316_3:167	of	RB(RB)	of
POmtg316_3:168	the	DT(DT)	the
POmtg316_3:169	_0	PA(PA)	
POmtg316_3:170	pool	NN(NN)	pool
POmtg316_3:171	of	IN(IN)	of
POmtg316_3:172	knowledge	NN(NN)	knowledge
POmtg316_3:173	and	CC(CC)	and
POmtg316_3:174	experience	NN(NN)	experience
POmtg316_3:175	that	PRE(PRE)	that
POmtg316_3:176	would	MD(MD)	will
POmtg316_3:177	contribute	VV(VV)	contribute
POmtg316_3:178	to	IN(IN)	to
POmtg316_3:179	the	DT(DT)	the
POmtg316_3:180	attainment	NN(NN)	attainment
POmtg316_3:181	of	IN(IN)	of
POmtg316_3:182	the	DT(DT)	the
POmtg316_3:183	objectives	NNS(NNS)	objective
POmtg316_3:184	_1	PA(PA)	
POmtg316_3:185	why	WRB(WRB)	why
POmtg316_3:186	are	VBP(VBP)	be
POmtg316_3:187	you	PP(PP)	you
POmtg316_3:188	laughing	VVG(VVG)	laugh
POmtg316_3:189	at	IN(IN)	at
POmtg316_3:190	me	PP(PP)	i

POmtg316_4:1	no	RE(RE)	no
POmtg316_4:2	he	PP(PP)	he
POmtg316_4:3	's	VBS(VBS)	be
POmtg316_4:4	trying	VVG(VVG)	try
POmtg316_4:5	to	TO(TO)	to
POmtg316_4:6	sort	RB(RB)	sort
POmtg316_4:7	of	RB(RB)	of
POmtg316_4:8	follow	VV(VV)	follow
POmtg316_4:9	you	PP(PP)	you
POmtg316_4:10	@	LA(LA)	

POmtg316_5:1	yeah	RE(RE)	yeah

